Index,Video_ID,Stress_Score
43,44_1001_IWL_HAP_XX_stress_0.10,0.10
44,45_1001_IWL_NEU_XX_stress_0.20,0.20
45,46_1001_IWL_SAD_XX_stress_0.75,0.75
46,47_1001_IWW_ANG_XX_stress_0.90,0.90
47,48_1001_IWW_DIS_XX_stress_0.70,0.70
48,49_1001_IWW_FEA_XX_stress_0.90,0.90
49,50_1001_IWW_HAP_XX_stress_0.10,0.10
50,51_1001_IWW_NEU_XX_stress_0.20,0.20
51,52_1001_IWW_SAD_XX_stress_0.75,0.75
52,53_1001_MTI_ANG_XX_stress_0.90,0.90
53,54_1001_MTI_DIS_XX_stress_0.70,0.70
54,55_1001_MTI_FEA_XX_stress_0.90,0.90
55,56_1001_MTI_HAP_XX_stress_0.10,0.10
56,57_1001_MTI_NEU_XX_stress_0.20,0.20
57,58_1001_MTI_SAD_XX_stress_0.75,0.75
58,59_1001_TAI_ANG_XX_stress_0.90,0.90
59,60_1001_TAI_DIS_XX_stress_0.70,0.70
60,61_1001_TAI_FEA_XX_stress_0.90,0.90
61,62_1001_TAI_HAP_XX_stress_0.10,0.10
62,63_1001_TAI_NEU_XX_stress_0.20,0.20
63,64_1001_TAI_SAD_XX_stress_0.75,0.75
64,65_1001_TIE_ANG_XX_stress_0.90,0.90
65,66_1001_TIE_DIS_XX_stress_0.70,0.70
66,67_1001_TIE_FEA_XX_stress_0.90,0.90
67,68_1001_TIE_HAP_XX_stress_0.10,0.10
68,69_1001_TIE_NEU_XX_stress_0.20,0.20
69,70_1001_TIE_SAD_XX_stress_0.75,0.75
70,71_1001_TSI_ANG_XX_stress_0.90,0.90
71,72_1001_TSI_DIS_XX_stress_0.70,0.70
72,73_1001_TSI_FEA_XX_stress_0.90,0.90
73,74_1001_TSI_HAP_XX_stress_0.10,0.10
74,75_1001_TSI_NEU_XX_stress_0.20,0.20
75,76_1001_TSI_SAD_XX_stress_0.75,0.75
76,77_1001_WSI_ANG_XX_stress_0.90,0.90
77,78_1001_WSI_DIS_XX_stress_0.70,0.70
78,79_1001_WSI_FEA_XX_stress_0.90,0.90
79,80_1001_WSI_HAP_XX_stress_0.10,0.10
80,81_1001_WSI_NEU_XX_stress_0.20,0.20
81,82_1001_WSI_SAD_XX_stress_0.75,0.75
82,83_1002_DFA_ANG_XX_stress_0.90,0.90
83,84_1002_DFA_DIS_XX_stress_0.70,0.70
84,85_1002_DFA_FEA_XX_stress_0.90,0.90
85,86_1002_DFA_HAP_XX_stress_0.10,0.10
86,87_1002_DFA_NEU_XX_stress_0.20,0.20
87,88_1002_DFA_SAD_XX_stress_0.75,0.75
88,89_1002_IEO_ANG_HI_stress_1.00,1.00
89,90_1002_IEO_ANG_LO_stress_0.80,0.80
90,91_1002_IEO_ANG_MD_stress_0.90,0.90
91,92_1002_IEO_DIS_HI_stress_0.80,0.80
92,93_1002_IEO_DIS_LO_stress_0.60,0.60
93,94_1002_IEO_DIS_MD_stress_0.70,0.70
94,95_1002_IEO_FEA_HI_stress_1.00,1.00
95,96_1002_IEO_FEA_LO_stress_0.80,0.80
96,97_1002_IEO_FEA_MD_stress_0.90,0.90
97,98_1002_IEO_HAP_HI_stress_0.00,0.00
98,99_1002_IEO_HAP_LO_stress_0.20,0.20
99,100_1002_IEO_HAP_MD_stress_0.10,0.10
100,101_1002_IEO_NEU_XX_stress_0.20,0.20
101,102_1002_IEO_SAD_HI_stress_0.90,0.90
102,103_1002_IEO_SAD_LO_stress_0.60,0.60
103,104_1002_IEO_SAD_MD_stress_0.75,0.75
104,105_1002_IOM_ANG_XX_stress_0.90,0.90
105,106_1002_IOM_DIS_XX_stress_0.70,0.70
106,107_1002_IOM_FEA_XX_stress_0.90,0.90
107,108_1002_IOM_HAP_XX_stress_0.10,0.10
108,109_1002_IOM_NEU_XX_stress_0.20,0.20
109,110_1002_IOM_SAD_XX_stress_0.75,0.75
110,111_1002_ITH_ANG_XX_stress_0.90,0.90
111,112_1002_ITH_DIS_XX_stress_0.70,0.70
112,113_1002_ITH_FEA_XX_stress_0.90,0.90
113,114_1002_ITH_HAP_XX_stress_0.10,0.10
114,115_1002_ITH_NEU_XX_stress_0.20,0.20
115,116_1002_ITH_SAD_XX_stress_0.75,0.75
116,117_1002_ITS_ANG_XX_stress_0.90,0.90
117,118_1002_ITS_DIS_XX_stress_0.70,0.70
118,119_1002_ITS_FEA_XX_stress_0.90,0.90
119,120_1002_ITS_HAP_XX_stress_0.10,0.10
120,121_1002_ITS_NEU_XX_stress_0.20,0.20
121,122_1002_ITS_SAD_XX_stress_0.75,0.75
122,123_1002_IWL_ANG_XX_stress_0.90,0.90
123,124_1002_IWL_DIS_XX_stress_0.70,0.70
124,125_1002_IWL_FEA_XX_stress_0.90,0.90
125,126_1002_IWL_HAP_XX_stress_0.10,0.10
126,127_1002_IWL_NEU_XX_stress_0.20,0.20
127,128_1002_IWL_SAD_XX_stress_0.75,0.75
128,129_1002_IWW_ANG_XX_stress_0.90,0.90
129,130_1002_IWW_DIS_XX_stress_0.70,0.70
130,131_1002_IWW_FEA_XX_stress_0.90,0.90
131,132_1002_IWW_HAP_XX_stress_0.10,0.10
132,133_1002_IWW_NEU_XX_stress_0.20,0.20
133,134_1002_IWW_SAD_XX_stress_0.75,0.75
134,135_1002_MTI_ANG_XX_stress_0.90,0.90
135,136_1002_MTI_DIS_XX_stress_0.70,0.70
136,137_1002_MTI_FEA_XX_stress_0.90,0.90
137,138_1002_MTI_HAP_XX_stress_0.10,0.10
138,139_1002_MTI_NEU_XX_stress_0.20,0.20
139,140_1002_MTI_SAD_XX_stress_0.75,0.75
140,141_1002_TAI_ANG_XX_stress_0.90,0.90
141,142_1002_TAI_DIS_XX_stress_0.70,0.70
142,143_1002_TAI_FEA_XX_stress_0.90,0.90
143,144_1002_TAI_HAP_XX_stress_0.10,0.10
144,145_1002_TAI_NEU_XX_stress_0.20,0.20
145,146_1002_TAI_SAD_XX_stress_0.75,0.75
146,147_1002_TIE_ANG_XX_stress_0.90,0.90
147,148_1002_TIE_DIS_XX_stress_0.70,0.70
148,149_1002_TIE_FEA_XX_stress_0.90,0.90
149,150_1002_TIE_HAP_XX_stress_0.10,0.10
150,151_1002_TIE_SAD_XX_stress_0.75,0.75
151,152_1002_TSI_ANG_XX_stress_0.90,0.90
152,153_1002_TSI_DIS_XX_stress_0.70,0.70
153,154_1002_TSI_FEA_XX_stress_0.90,0.90
154,155_1002_TSI_HAP_XX_stress_0.10,0.10
155,156_1002_TSI_NEU_XX_stress_0.20,0.20
156,157_1002_TSI_SAD_XX_stress_0.75,0.75
157,158_1002_WSI_ANG_XX_stress_0.90,0.90
158,159_1002_WSI_DIS_XX_stress_0.70,0.70
159,160_1002_WSI_FEA_XX_stress_0.90,0.90
160,161_1002_WSI_HAP_XX_stress_0.10,0.10
161,162_1002_WSI_NEU_XX_stress_0.20,0.20
162,163_1002_WSI_SAD_XX_stress_0.75,0.75
163,164_1003_DFA_ANG_XX_stress_0.90,0.90
164,165_1003_DFA_DIS_XX_stress_0.70,0.70
165,166_1003_DFA_FEA_XX_stress_0.90,0.90
166,167_1003_DFA_HAP_XX_stress_0.10,0.10
167,168_1003_DFA_NEU_XX_stress_0.20,0.20
168,169_1003_DFA_SAD_XX_stress_0.75,0.75
169,170_1003_IEO_ANG_HI_stress_1.00,1.00
170,171_1003_IEO_ANG_LO_stress_0.80,0.80
171,172_1003_IEO_ANG_MD_stress_0.90,0.90
172,173_1003_IEO_DIS_HI_stress_0.80,0.80
173,174_1003_IEO_DIS_LO_stress_0.60,0.60
174,175_1003_IEO_DIS_MD_stress_0.70,0.70
175,176_1003_IEO_FEA_HI_stress_1.00,1.00
176,177_1003_IEO_FEA_LO_stress_0.80,0.80
177,178_1003_IEO_FEA_MD_stress_0.90,0.90
178,179_1003_IEO_HAP_HI_stress_0.00,0.00
179,180_1003_IEO_HAP_LO_stress_0.20,0.20
180,181_1003_IEO_HAP_MD_stress_0.10,0.10
181,182_1003_IEO_NEU_XX_stress_0.20,0.20
182,183_1003_IEO_SAD_HI_stress_0.90,0.90
183,184_1003_IEO_SAD_LO_stress_0.60,0.60
184,185_1003_IEO_SAD_MD_stress_0.75,0.75
185,186_1003_IOM_ANG_XX_stress_0.90,0.90
186,187_1003_IOM_DIS_XX_stress_0.70,0.70
187,188_1003_IOM_FEA_XX_stress_0.90,0.90
188,189_1003_IOM_HAP_XX_stress_0.10,0.10
189,190_1003_IOM_NEU_XX_stress_0.20,0.20
190,191_1003_IOM_SAD_XX_stress_0.75,0.75
191,192_1003_ITH_ANG_XX_stress_0.90,0.90
192,193_1003_ITH_DIS_XX_stress_0.70,0.70
193,194_1003_ITH_FEA_XX_stress_0.90,0.90
194,195_1003_ITH_HAP_XX_stress_0.10,0.10
195,196_1003_ITH_NEU_XX_stress_0.20,0.20
196,197_1003_ITH_SAD_XX_stress_0.75,0.75
197,198_1003_ITS_ANG_XX_stress_0.90,0.90
198,199_1003_ITS_DIS_XX_stress_0.70,0.70
199,200_1003_ITS_FEA_XX_stress_0.90,0.90
200,201_1003_ITS_HAP_XX_stress_0.10,0.10
201,202_1003_ITS_NEU_XX_stress_0.20,0.20
202,203_1003_ITS_SAD_XX_stress_0.75,0.75
203,204_1003_IWL_ANG_XX_stress_0.90,0.90
204,205_1003_IWL_DIS_XX_stress_0.70,0.70
205,206_1003_IWL_FEA_XX_stress_0.90,0.90
206,207_1003_IWL_HAP_XX_stress_0.10,0.10
207,208_1003_IWL_NEU_XX_stress_0.20,0.20
208,209_1003_IWL_SAD_XX_stress_0.75,0.75
209,210_1003_IWW_ANG_XX_stress_0.90,0.90
210,211_1003_IWW_DIS_XX_stress_0.70,0.70
211,212_1003_IWW_FEA_XX_stress_0.90,0.90
212,213_1003_IWW_HAP_XX_stress_0.10,0.10
213,214_1003_IWW_NEU_XX_stress_0.20,0.20
214,215_1003_IWW_SAD_XX_stress_0.75,0.75
215,216_1003_MTI_ANG_XX_stress_0.90,0.90
216,217_1003_MTI_DIS_XX_stress_0.70,0.70
217,218_1003_MTI_FEA_XX_stress_0.90,0.90
218,219_1003_MTI_HAP_XX_stress_0.10,0.10
219,220_1003_MTI_NEU_XX_stress_0.20,0.20
220,221_1003_MTI_SAD_XX_stress_0.75,0.75
221,222_1003_TAI_ANG_XX_stress_0.90,0.90
222,223_1003_TAI_DIS_XX_stress_0.70,0.70
223,224_1003_TAI_FEA_XX_stress_0.90,0.90
224,225_1003_TAI_HAP_XX_stress_0.10,0.10
225,226_1003_TAI_NEU_XX_stress_0.20,0.20
226,227_1003_TAI_SAD_XX_stress_0.75,0.75
227,228_1003_TIE_ANG_XX_stress_0.90,0.90
228,229_1003_TIE_DIS_XX_stress_0.70,0.70
229,230_1003_TIE_FEA_XX_stress_0.90,0.90
230,231_1003_TIE_HAP_XX_stress_0.10,0.10
231,232_1003_TIE_NEU_XX_stress_0.20,0.20
232,233_1003_TIE_SAD_XX_stress_0.75,0.75
233,234_1003_TSI_ANG_XX_stress_0.90,0.90
234,235_1003_TSI_DIS_XX_stress_0.70,0.70
235,236_1003_TSI_FEA_XX_stress_0.90,0.90
236,237_1003_TSI_HAP_XX_stress_0.10,0.10
237,238_1003_TSI_NEU_XX_stress_0.20,0.20
238,239_1003_TSI_SAD_XX_stress_0.75,0.75
239,240_1003_WSI_ANG_XX_stress_0.90,0.90
240,241_1003_WSI_DIS_XX_stress_0.70,0.70
241,242_1003_WSI_FEA_XX_stress_0.90,0.90
242,243_1003_WSI_HAP_XX_stress_0.10,0.10
243,244_1003_WSI_NEU_XX_stress_0.20,0.20
244,245_1003_WSI_SAD_XX_stress_0.75,0.75
245,246_1004_DFA_ANG_XX_stress_0.90,0.90
246,247_1004_DFA_DIS_XX_stress_0.70,0.70
247,248_1004_DFA_FEA_XX_stress_0.90,0.90
248,249_1004_DFA_HAP_XX_stress_0.10,0.10
249,250_1004_DFA_NEU_XX_stress_0.20,0.20
250,251_1004_DFA_SAD_XX_stress_0.75,0.75
251,252_1004_IEO_ANG_HI_stress_1.00,1.00
252,253_1004_IEO_ANG_LO_stress_0.80,0.80
253,254_1004_IEO_ANG_MD_stress_0.90,0.90
254,255_1004_IEO_DIS_HI_stress_0.80,0.80
255,256_1004_IEO_DIS_LO_stress_0.60,0.60
256,257_1004_IEO_DIS_MD_stress_0.70,0.70
257,258_1004_IEO_FEA_HI_stress_1.00,1.00
258,259_1004_IEO_FEA_LO_stress_0.80,0.80
259,260_1004_IEO_FEA_MD_stress_0.90,0.90
260,261_1004_IEO_HAP_HI_stress_0.00,0.00
261,262_1004_IEO_HAP_LO_stress_0.20,0.20
262,263_1004_IEO_HAP_MD_stress_0.10,0.10
263,264_1004_IEO_NEU_XX_stress_0.20,0.20
264,265_1004_IEO_SAD_HI_stress_0.90,0.90
265,266_1004_IEO_SAD_LO_stress_0.60,0.60
266,267_1004_IEO_SAD_MD_stress_0.75,0.75
267,268_1004_IOM_ANG_XX_stress_0.90,0.90
268,269_1004_IOM_DIS_XX_stress_0.70,0.70
269,270_1004_IOM_FEA_XX_stress_0.90,0.90
270,271_1004_IOM_HAP_XX_stress_0.10,0.10
271,272_1004_IOM_NEU_XX_stress_0.20,0.20
272,273_1004_IOM_SAD_XX_stress_0.75,0.75
273,274_1004_ITH_ANG_XX_stress_0.90,0.90
274,275_1004_ITH_DIS_XX_stress_0.70,0.70
275,276_1004_ITH_FEA_XX_stress_0.90,0.90
276,277_1004_ITH_HAP_XX_stress_0.10,0.10
277,278_1004_ITH_NEU_XX_stress_0.20,0.20
278,279_1004_ITH_SAD_XX_stress_0.75,0.75
279,280_1004_ITS_ANG_XX_stress_0.90,0.90
280,281_1004_ITS_DIS_XX_stress_0.70,0.70
281,282_1004_ITS_FEA_XX_stress_0.90,0.90
282,283_1004_ITS_HAP_XX_stress_0.10,0.10
283,284_1004_ITS_NEU_XX_stress_0.20,0.20
284,285_1004_ITS_SAD_XX_stress_0.75,0.75
285,286_1004_IWL_ANG_XX_stress_0.90,0.90
286,287_1004_IWL_DIS_XX_stress_0.70,0.70
287,288_1004_IWL_FEA_XX_stress_0.90,0.90
288,289_1004_IWL_HAP_XX_stress_0.10,0.10
289,290_1004_IWL_NEU_XX_stress_0.20,0.20
290,291_1004_IWL_SAD_XX_stress_0.75,0.75
291,292_1004_IWW_ANG_XX_stress_0.90,0.90
292,293_1004_IWW_DIS_XX_stress_0.70,0.70
293,294_1004_IWW_FEA_XX_stress_0.90,0.90
294,295_1004_IWW_HAP_XX_stress_0.10,0.10
295,296_1004_IWW_NEU_XX_stress_0.20,0.20
296,297_1004_IWW_SAD_XX_stress_0.75,0.75
297,298_1004_MTI_ANG_XX_stress_0.90,0.90
298,299_1004_MTI_DIS_XX_stress_0.70,0.70
299,300_1004_MTI_FEA_XX_stress_0.90,0.90
300,301_1004_MTI_HAP_XX_stress_0.10,0.10
301,302_1004_MTI_NEU_XX_stress_0.20,0.20
302,303_1004_MTI_SAD_XX_stress_0.75,0.75
303,304_1004_TAI_ANG_XX_stress_0.90,0.90
304,305_1004_TAI_DIS_XX_stress_0.70,0.70
305,306_1004_TAI_FEA_XX_stress_0.90,0.90
306,307_1004_TAI_HAP_XX_stress_0.10,0.10
307,308_1004_TAI_NEU_XX_stress_0.20,0.20
308,309_1004_TAI_SAD_XX_stress_0.75,0.75
309,310_1004_TIE_ANG_XX_stress_0.90,0.90
310,311_1004_TIE_DIS_XX_stress_0.70,0.70
311,312_1004_TIE_FEA_XX_stress_0.90,0.90
312,313_1004_TIE_HAP_XX_stress_0.10,0.10
313,314_1004_TIE_NEU_XX_stress_0.20,0.20
314,315_1004_TIE_SAD_XX_stress_0.75,0.75
315,316_1004_TSI_ANG_XX_stress_0.90,0.90
316,317_1004_TSI_DIS_XX_stress_0.70,0.70
317,318_1004_TSI_FEA_XX_stress_0.90,0.90
318,319_1004_TSI_HAP_XX_stress_0.10,0.10
319,320_1004_TSI_NEU_XX_stress_0.20,0.20
320,321_1004_TSI_SAD_XX_stress_0.75,0.75
321,322_1004_WSI_ANG_XX_stress_0.90,0.90
322,323_1004_WSI_DIS_XX_stress_0.70,0.70
323,324_1004_WSI_FEA_XX_stress_0.90,0.90
324,325_1004_WSI_HAP_XX_stress_0.10,0.10
325,326_1004_WSI_NEU_XX_stress_0.20,0.20
326,327_1004_WSI_SAD_XX_stress_0.75,0.75
327,328_1005_DFA_ANG_XX_stress_0.90,0.90
328,329_1005_DFA_DIS_XX_stress_0.70,0.70
329,330_1005_DFA_FEA_XX_stress_0.90,0.90
330,331_1005_DFA_HAP_XX_stress_0.10,0.10
331,332_1005_DFA_NEU_XX_stress_0.20,0.20
332,333_1005_DFA_SAD_XX_stress_0.75,0.75
333,334_1005_IEO_ANG_HI_stress_1.00,1.00
334,335_1005_IEO_ANG_LO_stress_0.80,0.80
335,336_1005_IEO_ANG_MD_stress_0.90,0.90
336,337_1005_IEO_DIS_HI_stress_0.80,0.80
337,338_1005_IEO_DIS_LO_stress_0.60,0.60
338,339_1005_IEO_DIS_MD_stress_0.70,0.70
339,340_1005_IEO_FEA_HI_stress_1.00,1.00
340,341_1005_IEO_FEA_LO_stress_0.80,0.80
341,342_1005_IEO_FEA_MD_stress_0.90,0.90
342,343_1005_IEO_HAP_HI_stress_0.00,0.00
343,344_1005_IEO_HAP_LO_stress_0.20,0.20
344,345_1005_IEO_HAP_MD_stress_0.10,0.10
345,346_1005_IEO_NEU_XX_stress_0.20,0.20
346,347_1005_IEO_SAD_HI_stress_0.90,0.90
347,348_1005_IEO_SAD_LO_stress_0.60,0.60
348,349_1005_IEO_SAD_MD_stress_0.75,0.75
349,350_1005_IOM_ANG_XX_stress_0.90,0.90
350,351_1005_IOM_DIS_XX_stress_0.70,0.70
351,352_1005_IOM_FEA_XX_stress_0.90,0.90
352,353_1005_IOM_HAP_XX_stress_0.10,0.10
353,354_1005_IOM_NEU_XX_stress_0.20,0.20
354,355_1005_IOM_SAD_XX_stress_0.75,0.75
355,356_1005_ITH_ANG_XX_stress_0.90,0.90
356,357_1005_ITH_DIS_XX_stress_0.70,0.70
357,358_1005_ITH_FEA_XX_stress_0.90,0.90
358,359_1005_ITH_HAP_XX_stress_0.10,0.10
359,360_1005_ITH_NEU_XX_stress_0.20,0.20
360,361_1005_ITH_SAD_XX_stress_0.75,0.75
361,362_1005_ITS_ANG_XX_stress_0.90,0.90
362,363_1005_ITS_DIS_XX_stress_0.70,0.70
363,364_1005_ITS_FEA_XX_stress_0.90,0.90
364,365_1005_ITS_HAP_XX_stress_0.10,0.10
365,366_1005_ITS_NEU_XX_stress_0.20,0.20
366,367_1005_ITS_SAD_XX_stress_0.75,0.75
367,368_1005_IWL_ANG_XX_stress_0.90,0.90
368,369_1005_IWL_DIS_XX_stress_0.70,0.70
369,370_1005_IWL_FEA_XX_stress_0.90,0.90
370,371_1005_IWL_HAP_XX_stress_0.10,0.10
371,372_1005_IWL_NEU_XX_stress_0.20,0.20
372,373_1005_IWL_SAD_XX_stress_0.75,0.75
373,374_1005_IWW_ANG_XX_stress_0.90,0.90
374,375_1005_IWW_DIS_XX_stress_0.70,0.70
375,376_1005_IWW_FEA_XX_stress_0.90,0.90
376,377_1005_IWW_HAP_XX_stress_0.10,0.10
377,378_1005_IWW_NEU_XX_stress_0.20,0.20
378,379_1005_IWW_SAD_XX_stress_0.75,0.75
379,380_1005_MTI_ANG_XX_stress_0.90,0.90
380,381_1005_MTI_DIS_XX_stress_0.70,0.70
381,382_1005_MTI_FEA_XX_stress_0.90,0.90
382,383_1005_MTI_HAP_XX_stress_0.10,0.10
383,384_1005_MTI_NEU_XX_stress_0.20,0.20
384,385_1005_MTI_SAD_XX_stress_0.75,0.75
385,386_1005_TAI_ANG_XX_stress_0.90,0.90
386,387_1005_TAI_DIS_XX_stress_0.70,0.70
387,388_1005_TAI_FEA_XX_stress_0.90,0.90
388,389_1005_TAI_HAP_XX_stress_0.10,0.10
389,390_1005_TAI_NEU_XX_stress_0.20,0.20
390,391_1005_TAI_SAD_XX_stress_0.75,0.75
391,392_1005_TIE_ANG_XX_stress_0.90,0.90
392,393_1005_TIE_DIS_XX_stress_0.70,0.70
393,394_1005_TIE_FEA_XX_stress_0.90,0.90
394,395_1005_TIE_HAP_XX_stress_0.10,0.10
395,396_1005_TIE_NEU_XX_stress_0.20,0.20
396,397_1005_TIE_SAD_XX_stress_0.75,0.75
397,398_1005_TSI_ANG_XX_stress_0.90,0.90
398,399_1005_TSI_DIS_XX_stress_0.70,0.70
399,400_1005_TSI_FEA_XX_stress_0.90,0.90
400,401_1005_TSI_HAP_XX_stress_0.10,0.10
401,402_1005_TSI_NEU_XX_stress_0.20,0.20
402,403_1005_TSI_SAD_XX_stress_0.75,0.75
403,404_1005_WSI_ANG_XX_stress_0.90,0.90
404,405_1005_WSI_DIS_XX_stress_0.70,0.70
405,406_1005_WSI_FEA_XX_stress_0.90,0.90
406,407_1005_WSI_HAP_XX_stress_0.10,0.10
407,408_1005_WSI_NEU_XX_stress_0.20,0.20
408,409_1005_WSI_SAD_XX_stress_0.75,0.75
409,410_1006_DFA_ANG_XX_stress_0.90,0.90
410,411_1006_DFA_DIS_XX_stress_0.70,0.70
411,412_1006_DFA_FEA_XX_stress_0.90,0.90
412,413_1006_DFA_HAP_XX_stress_0.10,0.10
413,414_1006_DFA_NEU_XX_stress_0.20,0.20
414,415_1006_DFA_SAD_XX_stress_0.75,0.75
415,416_1006_IEO_ANG_HI_stress_1.00,1.00
416,417_1006_IEO_ANG_LO_stress_0.80,0.80
417,418_1006_IEO_ANG_MD_stress_0.90,0.90
418,419_1006_IEO_DIS_HI_stress_0.80,0.80
419,420_1006_IEO_DIS_LO_stress_0.60,0.60
420,421_1006_IEO_DIS_MD_stress_0.70,0.70
421,422_1006_IEO_FEA_HI_stress_1.00,1.00
422,423_1006_IEO_FEA_LO_stress_0.80,0.80
423,424_1006_IEO_FEA_MD_stress_0.90,0.90
424,425_1006_IEO_HAP_HI_stress_0.00,0.00
425,426_1006_IEO_HAP_LO_stress_0.20,0.20
426,427_1006_IEO_HAP_MD_stress_0.10,0.10
427,428_1006_IEO_NEU_XX_stress_0.20,0.20
428,429_1006_IEO_SAD_HI_stress_0.90,0.90
429,430_1006_IEO_SAD_LO_stress_0.60,0.60
430,431_1006_IEO_SAD_MD_stress_0.75,0.75
431,432_1006_IOM_ANG_XX_stress_0.90,0.90
432,433_1006_IOM_DIS_XX_stress_0.70,0.70
433,434_1006_IOM_FEA_XX_stress_0.90,0.90
434,435_1006_IOM_HAP_XX_stress_0.10,0.10
435,436_1006_IOM_NEU_XX_stress_0.20,0.20
436,437_1006_IOM_SAD_XX_stress_0.75,0.75
437,438_1006_ITH_ANG_XX_stress_0.90,0.90
438,439_1006_ITH_DIS_XX_stress_0.70,0.70
439,440_1006_ITH_FEA_XX_stress_0.90,0.90
440,441_1006_ITH_HAP_XX_stress_0.10,0.10
441,442_1006_ITH_NEU_XX_stress_0.20,0.20
442,443_1006_ITH_SAD_XX_stress_0.75,0.75
443,444_1006_ITS_ANG_XX_stress_0.90,0.90
444,445_1006_ITS_DIS_XX_stress_0.70,0.70
445,446_1006_ITS_FEA_XX_stress_0.90,0.90
446,447_1006_ITS_HAP_XX_stress_0.10,0.10
447,448_1006_ITS_NEU_XX_stress_0.20,0.20
448,449_1006_ITS_SAD_XX_stress_0.75,0.75
449,450_1006_IWL_ANG_XX_stress_0.90,0.90
450,451_1006_IWL_DIS_XX_stress_0.70,0.70
451,452_1006_IWL_FEA_XX_stress_0.90,0.90
452,453_1006_IWL_HAP_XX_stress_0.10,0.10
453,454_1006_IWL_NEU_XX_stress_0.20,0.20
454,455_1006_IWL_SAD_XX_stress_0.75,0.75
455,456_1006_IWW_ANG_XX_stress_0.90,0.90
456,457_1006_IWW_DIS_XX_stress_0.70,0.70
457,458_1006_IWW_FEA_XX_stress_0.90,0.90
458,459_1006_IWW_HAP_XX_stress_0.10,0.10
459,460_1006_IWW_NEU_XX_stress_0.20,0.20
460,461_1006_IWW_SAD_XX_stress_0.75,0.75
461,462_1006_MTI_ANG_XX_stress_0.90,0.90
462,463_1006_MTI_DIS_XX_stress_0.70,0.70
463,464_1006_MTI_FEA_XX_stress_0.90,0.90
464,465_1006_MTI_HAP_XX_stress_0.10,0.10
465,466_1006_MTI_NEU_XX_stress_0.20,0.20
466,467_1006_MTI_SAD_XX_stress_0.75,0.75
467,468_1006_TAI_ANG_XX_stress_0.90,0.90
468,469_1006_TAI_DIS_XX_stress_0.70,0.70
469,470_1006_TAI_FEA_XX_stress_0.90,0.90
470,471_1006_TAI_HAP_XX_stress_0.10,0.10
471,472_1006_TAI_NEU_XX_stress_0.20,0.20
472,473_1006_TAI_SAD_XX_stress_0.75,0.75
473,474_1006_TIE_ANG_XX_stress_0.90,0.90
474,475_1006_TIE_DIS_XX_stress_0.70,0.70
475,476_1006_TIE_FEA_XX_stress_0.90,0.90
476,477_1006_TIE_HAP_XX_stress_0.10,0.10
477,478_1006_TIE_NEU_XX_stress_0.20,0.20
478,479_1006_TIE_SAD_XX_stress_0.75,0.75
479,480_1006_TSI_ANG_XX_stress_0.90,0.90
480,481_1006_TSI_DIS_XX_stress_0.70,0.70
